Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB23,2,26/05/2011,yes,3,2,3
2011,TBB23,2,26/05/2011,yes,3,3,1
2011,TBB23,2,26/05/2011,yes,4,2,1
2011,TBB23,2,26/05/2011,yes,4,3,1
2011,TBB23,2,26/05/2011,yes,5,3,2
2011,TBB23,3,27/05/2011,yes,1,2,1
2011,TBB23,3,27/05/2011,yes,1,3,1
2011,TBB23,3,27/05/2011,yes,2,2,1
2011,TBB23,3,27/05/2011,yes,2,3,3
2011,TBB23,3,27/05/2011,yes,3,1,1
2011,TBB23,3,27/05/2011,yes,3,3,2
2011,TBB23,3,27/05/2011,yes,4,3,1
2011,TBB23,3,27/05/2011,yes,5,3,2
2011,TBB24,1,2/06/2011,yes,1,1,1
2011,TBB24,1,2/06/2011,yes,1,2,1
2011,TBB24,1,2/06/2011,yes,1,3,1
2011,TBB24,1,2/06/2011,yes,2,1,1
2011,TBB24,1,2/06/2011,yes,2,2,1
2011,TBB24,1,2/06/2011,yes,2,3,1
2011,TBB24,1,2/06/2011,yes,3,2,1
2011,TBB24,1,2/06/2011,yes,3,3,3
2011,TBB24,1,2/06/2011,no,4,,0
